DOCUMENT: 타법인 출자현황.html
SECTION: 3. 타법인출자 현황(상세)
TABLE: 3. 타법인출자 현황(상세)
META: ☞ 본문 위치로 이동

TABLE: 표
META: (기준일 : | 2025년 12월 31일 | ) | (단위 : 백만원, 천주, %)

TABLE: 표
HEADER: 법인명 | 상장 여부 | 최초취득일자 | 출자 목적 | 최초취득금액 | 기초잔액 / 수량 | 기초잔액 / 지분율 | 기초잔액 / 장부 가액 | 증가(감소) / 취득(처분) / 수량 | 증가(감소) / 취득(처분) / 금액 | 증가(감소) / 평가 손익 | 기말잔액 / 수량 | 기말잔액 / 지분율 | 기말잔액 / 장부 가액 | 최근사업연도 재무현황 / 총자산 | 최근사업연도 재무현황 / 당기 순손익
ROW: 법인명=SVIC 28호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2015.02.13 | 출자 목적=경영참여 | 최초취득금액=7,425 | 기초잔액 / 수량=0 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=99 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=99 | 최근사업연도 재무현황 / 총자산=234,445 | 최근사업연도 재무현황 / 당기 순손익=24,104
ROW: 법인명=SVIC 32호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2016.08.09 | 출자 목적=경영참여 | 최초취득금액=19,800 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=100,109 | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=-49,518 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=50,591 | 최근사업연도 재무현황 / 총자산=119,535 | 최근사업연도 재무현황 / 당기 순손익=-12,644
ROW: 법인명=SVIC 33호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2016.11.11 | 출자 목적=경영참여 | 최초취득금액=4,950 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=112,524 | 증가(감소) / 취득(처분) / 수량=-1 | 증가(감소) / 취득(처분) / 금액=-79,982 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=32,542 | 최근사업연도 재무현황 / 총자산=190,421 | 최근사업연도 재무현황 / 당기 순손익=-9,040
ROW: 법인명=SVIC 42호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2018.11.30 | 출자 목적=경영참여 | 최초취득금액=4,950 | 기초잔액 / 수량=0 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=40,386 | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=-8,076 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=32,310 | 최근사업연도 재무현황 / 총자산=15,039 | 최근사업연도 재무현황 / 당기 순손익=-5,893
ROW: 법인명=SVIC 45호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2019.05.10 | 출자 목적=경영참여 | 최초취득금액=19,800 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=141,174 | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=-1,287 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=139,887 | 최근사업연도 재무현황 / 총자산=105,839 | 최근사업연도 재무현황 / 당기 순손익=-27,752
ROW: 법인명=SVIC 52호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2021.05.17 | 출자 목적=경영참여 | 최초취득금액=9,900 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=55,420 | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=27,937 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=83,357 | 최근사업연도 재무현황 / 총자산=115,312 | 최근사업연도 재무현황 / 당기 순손익=25,478
ROW: 법인명=SVIC 56호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2021.11.12 | 출자 목적=경영참여 | 최초취득금액=22,084 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=56,100 | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=-67 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=56,033 | 최근사업연도 재무현황 / 총자산=41,522 | 최근사업연도 재무현황 / 당기 순손익=-7,220
ROW: 법인명=SVIC 57호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2022.08.10 | 출자 목적=경영참여 | 최초취득금액=14,850 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=76,824 | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=65,973 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=142,797 | 최근사업연도 재무현황 / 총자산=168,426 | 최근사업연도 재무현황 / 당기 순손익=34,047
ROW: 법인명=SVIC 74호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2025.06.16 | 출자 목적=경영참여 | 최초취득금액=14,058 | 기초잔액 / 수량=- | 기초잔액 / 지분율=- | 기초잔액 / 장부 가액=- | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=39,962 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=39,962 | 최근사업연도 재무현황 / 총자산=39,525 | 최근사업연도 재무현황 / 당기 순손익=-1,799
ROW: 법인명=SVIC 76호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2025.12.12 | 출자 목적=경영참여 | 최초취득금액=1,000 | 기초잔액 / 수량=- | 기초잔액 / 지분율=- | 기초잔액 / 장부 가액=- | 증가(감소) / 취득(처분) / 수량=0 | 증가(감소) / 취득(처분) / 금액=1,000 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=66.7 | 기말잔액 / 장부 가액=1,000 | 최근사업연도 재무현황 / 총자산=1,502 | 최근사업연도 재무현황 / 당기 순손익=-255
ROW: 법인명=반도체성장 전문투자형 사모 투자신탁 | 상장 여부=비상장 | 최초취득일자=2017.03.03 | 출자 목적=경영참여 | 최초취득금액=500 | 기초잔액 / 수량=15,521,188 | 기초잔액 / 지분율=66.7 | 기초잔액 / 장부 가액=15,521 | 증가(감소) / 취득(처분) / 수량=-3,748,403 | 증가(감소) / 취득(처분) / 금액=-3,748 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=11,772,785 | 기말잔액 / 지분율=66.7 | 기말잔액 / 장부 가액=11,773 | 최근사업연도 재무현황 / 총자산=27,621 | 최근사업연도 재무현황 / 당기 순손익=921
ROW: 법인명=시스템반도체 상생 전문투자형 사모 투자신탁 | 상장 여부=비상장 | 최초취득일자=2020.04.27 | 출자 목적=경영참여 | 최초취득금액=25,000 | 기초잔액 / 수량=37,500,000 | 기초잔액 / 지분율=62.5 | 기초잔액 / 장부 가액=37,500 | 증가(감소) / 취득(처분) / 수량=-4,500,000 | 증가(감소) / 취득(처분) / 금액=-4,500 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=33,000,000 | 기말잔액 / 지분율=62.5 | 기말잔액 / 장부 가액=33,000 | 최근사업연도 재무현황 / 총자산=52,634 | 최근사업연도 재무현황 / 당기 순손익=-211
ROW: 법인명=반도체 생태계 일반 사모 투자신탁 | 상장 여부=비상장 | 최초취득일자=2023.07.27 | 출자 목적=경영참여 | 최초취득금액=500 | 기초잔액 / 수량=16 | 기초잔액 / 지분율=100.0 | 기초잔액 / 장부 가액=15,500 | 증가(감소) / 취득(처분) / 수량=21,499,984 | 증가(감소) / 취득(처분) / 금액=6,000 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=21,500,000 | 기말잔액 / 지분율=66.7 | 기말잔액 / 장부 가액=21,500 | 최근사업연도 재무현황 / 총자산=31,446 | 최근사업연도 재무현황 / 당기 순손익=-310
ROW: 법인명=㈜희망별숲 | 상장 여부=비상장 | 최초취득일자=2022.12.26 | 출자 목적=경영참여 | 최초취득금액=900 | 기초잔액 / 수량=180 | 기초잔액 / 지분율=100.0 | 기초잔액 / 장부 가액=900 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=180 | 기말잔액 / 지분율=100.0 | 기말잔액 / 장부 가액=900 | 최근사업연도 재무현황 / 총자산=13,832 | 최근사업연도 재무현황 / 당기 순손익=3,663
ROW: 법인명=㈜레인보우로보틱스 | 상장 여부=상장 | 최초취득일자=2023.01.12 | 출자 목적=경영참여 | 최초취득금액=58,982 | 기초잔액 / 수량=2,854 | 기초잔액 / 지분율=14.8 | 기초잔액 / 장부 가액=58,982 | 증가(감소) / 취득(처분) / 수량=3,936 | 증가(감소) / 취득(처분) / 금액=1,241,749 | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=6,790 | 기말잔액 / 지분율=35.0 | 기말잔액 / 장부 가액=1,300,731 | 최근사업연도 재무현황 / 총자산=144,401 | 최근사업연도 재무현황 / 당기 순손익=1,034
